"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"223","32566583","ALKBH5 promotes the proliferation of renal cell carcinoma by regulating AURKB expression in an m6A-dependent manner.","ALKBH5","regulate","m6A","renal cell carcinoma","ALKBH5","AFFECTS","cell population proliferation","KIRC(Kidney Renal Clear Cell Carcinoma)"
"323","32566583","ALKBH5 promotes the proliferation of renal cell carcinoma by regulating AURKB expression in an m6A-dependent manner.","m6A","regulate","AURKB","renal cell carcinoma","m6A","AFFECTS","AURKB","KIRC(Kidney Renal Clear Cell Carcinoma)"
"414","32566583","ALKBH5 promotes the proliferation of renal cell carcinoma by regulating AURKB expression in an m6A-dependent manner.","AURKB","promote","proliferation","renal cell carcinoma","AURKB","STIMULATES","cell population proliferation","KIRC(Kidney Renal Clear Cell Carcinoma)"
"125","33230473","YTHDF1 Facilitates the Progression of Hepatocellular Carcinoma by Promoting FZD5 mRNA Translation in an m6A-Dependent Manner.","YTHDF1","facilitate","progression","hepatocellular carcinoma","YTHDF1","STIMULATES","progression","LIHC(Liver Hepatocellular Carcinoma)"
"224","33230473","YTHDF1 Facilitates the Progression of Hepatocellular Carcinoma by Promoting FZD5 mRNA Translation in an m6A-Dependent Manner.","YTHDF1","bind","m6A","hepatocellular carcinoma","YTHDF1","INTERACTS_WITH","progression","LIHC(Liver Hepatocellular Carcinoma)"
"324","33230473","YTHDF1 Facilitates the Progression of Hepatocellular Carcinoma by Promoting FZD5 mRNA Translation in an m6A-Dependent Manner.","m6A","promote","FZD5","hepatocellular carcinoma","m6A","STIMULATES","FZD5","LIHC(Liver Hepatocellular Carcinoma)"
"415","33230473","YTHDF1 Facilitates the Progression of Hepatocellular Carcinoma by Promoting FZD5 mRNA Translation in an m6A-Dependent Manner.","FZD5","facilitate","progression","hepatocellular carcinoma","FZD5","STIMULATES","progression","LIHC(Liver Hepatocellular Carcinoma)"
"126","30648791","N6-methyladenosine demethylase FTO suppresses clear cell renal cell carcinoma through a novel FTO-PGC-1alpha signalling axis.","FTO","suppress","clear cell renal cell carcinoma","clear cell renal cell carcinoma","FTO","INHIBITS","Clear Cell Renal Cell Carcinoma Progression","KIRC(Kidney Renal Clear Cell Carcinoma)"
"225","30648791","N6-methyladenosine demethylase FTO suppresses clear cell renal cell carcinoma through a novel FTO-PGC-1alpha signalling axis.","FTO","regulate","FTO-PGC-1alpha signalling axis","clear cell renal cell carcinoma","FTO","AFFECTS","Clear Cell Renal Cell Carcinoma Progression","KIRC(Kidney Renal Clear Cell Carcinoma)"
"325","30648791","N6-methyladenosine demethylase FTO suppresses clear cell renal cell carcinoma through a novel FTO-PGC-1alpha signalling axis.","FTO-PGC-1alpha signalling axis","suppress","clear cell renal cell carcinoma","clear cell renal cell carcinoma","FTO-PGC-1alpha signalling axis","INHIBITS","Clear Cell Renal Cell Carcinoma Progression","KIRC(Kidney Renal Clear Cell Carcinoma)"
"127","33634966","FTO modifies the m6A level of MALAT and promotes bladder cancer progression.","FTO","modify","m6A","bladder cancer","FTO","AFFECTS","m6A","BLCA(Bladder Urothelial Carcinoma)"
"226","33634966","FTO modifies the m6A level of MALAT and promotes bladder cancer progression.","m6A","is on","MALAT","bladder cancer","m6A","LOCATES","MALAT","BLCA(Bladder Urothelial Carcinoma)"
"326","33634966","FTO modifies the m6A level of MALAT and promotes bladder cancer progression.","FTO","promote","progression","bladder cancer","FTO","STIMULATES","m6A","BLCA(Bladder Urothelial Carcinoma)"
"128","30659266","The m6A methyltransferase METTL3 promotes bladder cancer progression via AFF4/NF-kappaB/MYC signaling network.","METTL3","promote","progression","bladder cancer","METTL3","STIMULATES","progression","BLCA(Bladder Urothelial Carcinoma)"
"227","30659266","The m6A methyltransferase METTL3 promotes bladder cancer progression via AFF4/NF-kappaB/MYC signaling network.","METTL3","regulate","AFF4/NF-kappaB/MYC signaling network","bladder cancer","METTL3","AFFECTS","progression","BLCA(Bladder Urothelial Carcinoma)"
"327","30659266","The m6A methyltransferase METTL3 promotes bladder cancer progression via AFF4/NF-kappaB/MYC signaling network.","AFF4/NF-kappaB/MYC signaling network","promote","progression","bladder cancer","AFF4/NF-kappaB/MYC signaling network","STIMULATES","progression","BLCA(Bladder Urothelial Carcinoma)"
"129","32110044","FTO Facilitates Lung Adenocarcinoma Cell Progression by Activating Cell Migration Through mRNA Demethylation.","FTO","facilitate","cell progression","lung adenocarcinoma","FTO","STIMULATES","Cell Progression","LUAD(Lung Adenocarcinoma)"
"228","32110044","FTO Facilitates Lung Adenocarcinoma Cell Progression by Activating Cell Migration Through mRNA Demethylation.","FTO","regulate","mRNA demethylation","lung adenocarcinoma","FTO","AFFECTS","Cell Progression","LUAD(Lung Adenocarcinoma)"
"328","32110044","FTO Facilitates Lung Adenocarcinoma Cell Progression by Activating Cell Migration Through mRNA Demethylation.","mRNA demethylation","activate","cell migration","lung adenocarcinoma","mRNA demethylation","STIMULATES","cell migration","LUAD(Lung Adenocarcinoma)"
"416","32110044","FTO Facilitates Lung Adenocarcinoma Cell Progression by Activating Cell Migration Through mRNA Demethylation.","cell migration","facilitate","cell progression","lung adenocarcinoma","cell migration","STIMULATES","Cell Progression","LUAD(Lung Adenocarcinoma)"
"130","33980824","RNA m6A reader YTHDF2 facilitates lung adenocarcinoma cell proliferation and metastasis by targeting the AXIN1/Wnt/beta-catenin signaling.","YTHDF2","facilitate","cell proliferation","lung adenocarcinoma","YTHDF2","STIMULATES","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"229","33980824","RNA m6A reader YTHDF2 facilitates lung adenocarcinoma cell proliferation and metastasis by targeting the AXIN1/Wnt/beta-catenin signaling.","YTHDF2","facilitate","metastasis","lung adenocarcinoma","YTHDF2","STIMULATES","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"329","33980824","RNA m6A reader YTHDF2 facilitates lung adenocarcinoma cell proliferation and metastasis by targeting the AXIN1/Wnt/beta-catenin signaling.","YTHDF2","target","AXIN1/Wnt/beta-catenin signaling","lung adenocarcinoma","YTHDF2","INTERACTS_WITH","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"417","33980824","RNA m6A reader YTHDF2 facilitates lung adenocarcinoma cell proliferation and metastasis by targeting the AXIN1/Wnt/beta-catenin signaling.","AXIN1/Wnt/beta-catenin signaling","facilitate","cell proliferation","lung adenocarcinoma","AXIN1/Wnt/beta-catenin signaling pathway","STIMULATES","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"56","33980824","RNA m6A reader YTHDF2 facilitates lung adenocarcinoma cell proliferation and metastasis by targeting the AXIN1/Wnt/beta-catenin signaling.","AXIN1/Wnt/beta-catenin signaling","facilitate","metastasis","lung adenocarcinoma","AXIN1/Wnt/beta-catenin signaling pathway","STIMULATES","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"131","32772918","ALKBH5 suppresses malignancy of hepatocellular carcinoma via m6A-guided epigenetic inhibition of LYPD1.","ALKBH5","suppress","malignancy","hepatocellular carcinoma","ALKBH5","INHIBITS","cancer","LIHC(Liver Hepatocellular Carcinoma)"
"230","32772918","ALKBH5 suppresses malignancy of hepatocellular carcinoma via m6A-guided epigenetic inhibition of LYPD1.","ALKBH5","regulate","m6A","hepatocellular carcinoma","ALKBH5","AFFECTS","cancer","LIHC(Liver Hepatocellular Carcinoma)"
"330","32772918","ALKBH5 suppresses malignancy of hepatocellular carcinoma via m6A-guided epigenetic inhibition of LYPD1.","m6A","inhibit","LYPD1","hepatocellular carcinoma","m6A","INHIBITS","LYPD1","LIHC(Liver Hepatocellular Carcinoma)"
"418","32772918","ALKBH5 suppresses malignancy of hepatocellular carcinoma via m6A-guided epigenetic inhibition of LYPD1.","LYPD1","suppress","malignancy","hepatocellular carcinoma","LYPD1","INHIBITS","cancer","LIHC(Liver Hepatocellular Carcinoma)"
"132","31735169","YTHDF2 reduction fuels inflammation and vascular abnormalization in hepatocellular carcinoma.","dummy","reduct","YTHDF2","hepatocellular carcinoma","dummy","INHIBITS","YTHDF2","LIHC(Liver Hepatocellular Carcinoma)"
"231","31735169","YTHDF2 reduction fuels inflammation and vascular abnormalization in hepatocellular carcinoma.","YTHDF2","fuel","inflammation","hepatocellular carcinoma","YTHDF2","STIMULATES","inflammatory response","LIHC(Liver Hepatocellular Carcinoma)"
"331","31735169","YTHDF2 reduction fuels inflammation and vascular abnormalization in hepatocellular carcinoma.","YTHDF2","fuel","vascular abnormalization","hepatocellular carcinoma","YTHDF2","STIMULATES","inflammatory response","LIHC(Liver Hepatocellular Carcinoma)"
"133","31632576","m6A demethylase FTO promotes hepatocellular carcinoma tumorigenesis via mediating PKM2 demethylation.","FTO","promote","tumorigenesis","hepatocellular carcinoma","FTO","STIMULATES","Carcinogenesis","LIHC(Liver Hepatocellular Carcinoma)"
"232","31632576","m6A demethylase FTO promotes hepatocellular carcinoma tumorigenesis via mediating PKM2 demethylation.","FTO","demethylate","PKM2","hepatocellular carcinoma","FTO","CONVERTS_TO","Carcinogenesis","LIHC(Liver Hepatocellular Carcinoma)"
"332","31632576","m6A demethylase FTO promotes hepatocellular carcinoma tumorigenesis via mediating PKM2 demethylation.","PKM2","promote","tumorigenesis","hepatocellular carcinoma","PKM","STIMULATES","Carcinogenesis","LIHC(Liver Hepatocellular Carcinoma)"
"134","34503454","METTL14 promotes glomerular endothelial cell injury and diabetic nephropathy via m6A modification of alpha-klotho.","METTL14","promote","glomerular endothelial cell injury","diabetic nephropathy","METTL14","STIMULATES","glomerular endothelial cell injury","DIANPH"
"233","34503454","METTL14 promotes glomerular endothelial cell injury and diabetic nephropathy via m6A modification of alpha-klotho.","METTL14","promote","diabetic nephropathy","diabetic nephropathy","METTL14","STIMULATES","glomerular endothelial cell injury","DIANPH"
"333","34503454","METTL14 promotes glomerular endothelial cell injury and diabetic nephropathy via m6A modification of alpha-klotho.","METTL14","regulate","m6A","diabetic nephropathy","METTL14","AFFECTS","glomerular endothelial cell injury","DIANPH"
"419","34503454","METTL14 promotes glomerular endothelial cell injury and diabetic nephropathy via m6A modification of alpha-klotho.","m6A","is on","alpha-klotho","diabetic nephropathy","m6A","LOCATES","KL","DIANPH"
"57","34503454","METTL14 promotes glomerular endothelial cell injury and diabetic nephropathy via m6A modification of alpha-klotho.","alpha-klotho","promote","glomerular endothelial cell injury","diabetic nephropathy","KL","STIMULATES","glomerular endothelial cell injury","DIANPH"
"69","34503454","METTL14 promotes glomerular endothelial cell injury and diabetic nephropathy via m6A modification of alpha-klotho.","alpha-klotho","promote","diabetic nephropathy","diabetic nephropathy","KL","STIMULATES","glomerular endothelial cell injury","DIANPH"
"135","34169564","ALKBH5-mediated m6A-demethylation of USP1 regulated T-cell acute lymphoblastic leukemia cell glucocorticoid resistance by Aurora B.","ALKBH5","demethylate","m6A","T-cell acute lymphoblastic leukemia cell","ALKBH5","CONVERTS_TO","m6A","T-cell acute lymphoblastic leukemia cell"
"234","34169564","ALKBH5-mediated m6A-demethylation of USP1 regulated T-cell acute lymphoblastic leukemia cell glucocorticoid resistance by Aurora B.","m6A","is on","USP1","T-cell acute lymphoblastic leukemia cell","m6A","LOCATES","USP1","T-cell acute lymphoblastic leukemia cell"
"334","34169564","ALKBH5-mediated m6A-demethylation of USP1 regulated T-cell acute lymphoblastic leukemia cell glucocorticoid resistance by Aurora B.","USP1","regulate","glucocorticoid resistance","T-cell acute lymphoblastic leukemia cell","USP1","AFFECTS","Glucocorticoid Receptor Deficiency","T-cell acute lymphoblastic leukemia cell"
"420","34169564","ALKBH5-mediated m6A-demethylation of USP1 regulated T-cell acute lymphoblastic leukemia cell glucocorticoid resistance by Aurora B.","USP1","regulate","Aurora B","T-cell acute lymphoblastic leukemia cell","USP1","AFFECTS","Glucocorticoid Receptor Deficiency","T-cell acute lymphoblastic leukemia cell"
"58","34169564","ALKBH5-mediated m6A-demethylation of USP1 regulated T-cell acute lymphoblastic leukemia cell glucocorticoid resistance by Aurora B.","Aurora B","regulate","glucocorticoid resistance","T-cell acute lymphoblastic leukemia cell","Aurora B","AFFECTS","Glucocorticoid Receptor Deficiency","T-cell acute lymphoblastic leukemia cell"
"136","34530048","METTL3 induces PLX4032 resistance in melanoma by promoting m6A-dependent EGFR translation.","METTL3","induce the resistance of","PLX4032","melanoma","METTL3","PREVENTS","PLX4032","SKCM(Skin Cutaneous Melanoma)"
"235","34530048","METTL3 induces PLX4032 resistance in melanoma by promoting m6A-dependent EGFR translation.","METTL3","promote","m6A","melanoma","METTL3","STIMULATES","PLX4032","SKCM(Skin Cutaneous Melanoma)"
"335","34530048","METTL3 induces PLX4032 resistance in melanoma by promoting m6A-dependent EGFR translation.","m6A","regulate","EGRF","melanoma","m6A","AFFECTS","EGRF","SKCM(Skin Cutaneous Melanoma)"
"421","34530048","METTL3 induces PLX4032 resistance in melanoma by promoting m6A-dependent EGFR translation.","EGRF","induce the resistance of","PLX4032","melanoma","EGRF","PREVENTS","PLX4032","SKCM(Skin Cutaneous Melanoma)"
"137","32633395","METTL14 regulates M6A methylation-modified primary miR-19a to promote cardiovascular endothelial cell proliferation and invasion.","METTL14","regulate","M6A","cardiovascular endothelial cell","METTL14","AFFECTS","m6A","cardiovascular endothelial cell"
"236","32633395","METTL14 regulates M6A methylation-modified primary miR-19a to promote cardiovascular endothelial cell proliferation and invasion.","M6A","regulate","miR-19a","cardiovascular endothelial cell","m6A","AFFECTS","MIR19A","cardiovascular endothelial cell"
"336","32633395","METTL14 regulates M6A methylation-modified primary miR-19a to promote cardiovascular endothelial cell proliferation and invasion.","miR-19a","promote","proliferation","cardiovascular endothelial cell","MIR19A","STIMULATES","cell population proliferation","cardiovascular endothelial cell"
"422","32633395","METTL14 regulates M6A methylation-modified primary miR-19a to promote cardiovascular endothelial cell proliferation and invasion.","miR-19a","promote","invasion","cardiovascular endothelial cell","MIR19A","STIMULATES","cell population proliferation","cardiovascular endothelial cell"
"138","34088349","YTHDF1 promotes hepatocellular carcinoma progression via activating PI3K/AKT/mTOR signaling pathway and inducing epithelial-mesenchymal transition.","YTHDF1","promote","progression","hepatocellular carcinoma","YTHDF1","STIMULATES","progression","LIHC(Liver Hepatocellular Carcinoma)"
"237","34088349","YTHDF1 promotes hepatocellular carcinoma progression via activating PI3K/AKT/mTOR signaling pathway and inducing epithelial-mesenchymal transition.","YTHDF1","activate","PI3K/AKT/mTOR signaling pathway","hepatocellular carcinoma","YTHDF1","STIMULATES","progression","LIHC(Liver Hepatocellular Carcinoma)"
"337","34088349","YTHDF1 promotes hepatocellular carcinoma progression via activating PI3K/AKT/mTOR signaling pathway and inducing epithelial-mesenchymal transition.","YTHDF1","induce","epithelial-mesenchymal transition.","hepatocellular carcinoma","YTHDF1","CAUSES","progression","LIHC(Liver Hepatocellular Carcinoma)"
"423","34088349","YTHDF1 promotes hepatocellular carcinoma progression via activating PI3K/AKT/mTOR signaling pathway and inducing epithelial-mesenchymal transition.","PI3K/AKT/mTOR signaling pathway","promote","progression","hepatocellular carcinoma","PI3K/AKT/mTOR pathway","STIMULATES","progression","LIHC(Liver Hepatocellular Carcinoma)"
"59","34088349","YTHDF1 promotes hepatocellular carcinoma progression via activating PI3K/AKT/mTOR signaling pathway and inducing epithelial-mesenchymal transition.","epithelial-mesenchymal transition.","promote","progression","hepatocellular carcinoma","epithelial-mesenchymal transition.","STIMULATES","progression","LIHC(Liver Hepatocellular Carcinoma)"
"139","31434789","The RNA demethylase FTO is required for maintenance of bone mass and functions to protect osteoblasts from genotoxic damage.","FTO","maintain","bone mass","osteoblasts","FTO","MAINTAINS","bone mass","Osteoblasts"
"238","31434789","The RNA demethylase FTO is required for maintenance of bone mass and functions to protect osteoblasts from genotoxic damage.","FTO","prevent","genotoxic damage","osteoblasts","FTO","PREVENTS","bone mass","Osteoblasts"
"140","33505426","YTHDF2 Inhibits Gastric Cancer Cell Growth by Regulating FOXC2 Signaling Pathway.","YTHDF2","inhibit","cell growth","Gastric Cancer","YTHDF2","INHIBITS","cell growth","STAD(Stomach adenocarcinoma)"
"239","33505426","YTHDF2 Inhibits Gastric Cancer Cell Growth by Regulating FOXC2 Signaling Pathway.","YTHDF2","regulate","FOXC2 signaling pathway","Gastric Cancer","YTHDF2","AFFECTS","cell growth","STAD(Stomach adenocarcinoma)"
"338","33505426","YTHDF2 Inhibits Gastric Cancer Cell Growth by Regulating FOXC2 Signaling Pathway.","FOXC2 signaling pathway","inhibit","cell growth","Gastric Cancer","FOXC2 signaling pathway","INHIBITS","cell growth","STAD(Stomach adenocarcinoma)"
"141","33335426","METTL14 Overexpression Promotes Osteosarcoma Cell Apoptosis and Slows Tumor Progression via Caspase 3 Activation.","METTL14","promote","Apoptosis","Osteosarcoma","METTL14","STIMULATES","apoptotic process","SARC(Sarcoma)"
"240","33335426","METTL14 Overexpression Promotes Osteosarcoma Cell Apoptosis and Slows Tumor Progression via Caspase 3 Activation.","METTL14","slow","Tumor Progression","Osteosarcoma","METTL14","INHIBITS","apoptotic process","SARC(Sarcoma)"
"339","33335426","METTL14 Overexpression Promotes Osteosarcoma Cell Apoptosis and Slows Tumor Progression via Caspase 3 Activation.","METTL14","activate","Caspase 3","Osteosarcoma","METTL14","STIMULATES","apoptotic process","SARC(Sarcoma)"
"424","33335426","METTL14 Overexpression Promotes Osteosarcoma Cell Apoptosis and Slows Tumor Progression via Caspase 3 Activation.","Caspase 3","promote","Apoptosis","Osteosarcoma","CASP3","STIMULATES","apoptotic process","SARC(Sarcoma)"
"510","33335426","METTL14 Overexpression Promotes Osteosarcoma Cell Apoptosis and Slows Tumor Progression via Caspase 3 Activation.","Caspase 3","slow","Tumor Progression","Osteosarcoma","CASP3","INHIBITS","apoptotic process","SARC(Sarcoma)"
"142","34326699","Downregulation of m6A Reader YTHDC2 Promotes the Proliferation and Migration of Malignant Lung Cells via CYLD/NF-kappaB Pathway.","dummy","downregulate","YTHDC2","Malignant Lung Cells","dummy","INHIBITS","YTHDC2","LUAD(Lung Adenocarcinoma)"
"241","34326699","Downregulation of m6A Reader YTHDC2 Promotes the Proliferation and Migration of Malignant Lung Cells via CYLD/NF-kappaB Pathway.","YTHDC2","promote","Proliferation","Malignant Lung Cells","YTHDC2","STIMULATES","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"340","34326699","Downregulation of m6A Reader YTHDC2 Promotes the Proliferation and Migration of Malignant Lung Cells via CYLD/NF-kappaB Pathway.","YTHDC2","promote","Migration","Malignant Lung Cells","YTHDC2","STIMULATES","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"425","34326699","Downregulation of m6A Reader YTHDC2 Promotes the Proliferation and Migration of Malignant Lung Cells via CYLD/NF-kappaB Pathway.","YTHDC2","regulate","CYLD/NF-kappaB Pathway","Malignant Lung Cells","YTHDC2","AFFECTS","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"511","34326699","Downregulation of m6A Reader YTHDC2 Promotes the Proliferation and Migration of Malignant Lung Cells via CYLD/NF-kappaB Pathway.","CYLD/NF-kappaB Pathway","promote","Proliferation","Malignant Lung Cells","CYLD/NF-kappaB Pathway","STIMULATES","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"610","34326699","Downregulation of m6A Reader YTHDC2 Promotes the Proliferation and Migration of Malignant Lung Cells via CYLD/NF-kappaB Pathway.","CYLD/NF-kappaB Pathway","promote","Migration","Malignant Lung Cells","CYLD/NF-kappaB Pathway","STIMULATES","cell population proliferation","LUAD(Lung Adenocarcinoma)"
"143","34520821","VIRMA contributes to non-small cell lung cancer progression via N6-methyladenosine-dependent DAPK3 post-transcriptional modification.","VIRMA","contribute","Progression","Non-small cell lung cancer","VIRMA","AFFECTS","progression","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"242","34520821","VIRMA contributes to non-small cell lung cancer progression via N6-methyladenosine-dependent DAPK3 post-transcriptional modification.","VIRMA","modify","N6-methyladenosine","Non-small cell lung cancer","VIRMA","AFFECTS","progression","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"341","34520821","VIRMA contributes to non-small cell lung cancer progression via N6-methyladenosine-dependent DAPK3 post-transcriptional modification.","N6-methyladenosine","is on","DAPK3","Non-small cell lung cancer","m6A","LOCATES","DAPK3","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"426","34520821","VIRMA contributes to non-small cell lung cancer progression via N6-methyladenosine-dependent DAPK3 post-transcriptional modification.","DAPK3","contribute","Progression","Non-small cell lung cancer","DAPK3","AFFECTS","progression","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"144","32954854","METTL3 contributes to renal ischemia-reperfusion injury by regulating Foxd1 methylation.","METTL3","contribute","Renal Ischemia-Reperfusion Injury","Renal Ischemia-Reperfusion Injury","METTL3","AFFECTS","Renal Ischemia-Reperfusion Injury","Renal Ischemia-Reperfusion Injury"
"243","32954854","METTL3 contributes to renal ischemia-reperfusion injury by regulating Foxd1 methylation.","METTL3","methylate","Foxd1","Renal Ischemia-Reperfusion Injury","METTL3","CONVERTS_TO","Renal Ischemia-Reperfusion Injury","Renal Ischemia-Reperfusion Injury"
"342","32954854","METTL3 contributes to renal ischemia-reperfusion injury by regulating Foxd1 methylation.","Foxd1","regulate","Renal Ischemia-Reperfusion Injury","Renal Ischemia-Reperfusion Injury","FOXD1","AFFECTS","Renal Ischemia-Reperfusion Injury","Renal Ischemia-Reperfusion Injury"
"145","32802173","METTL14 aggravates endothelial inflammation and atherosclerosis by increasing FOXO1 N6-methyladeosine modifications.","METTL14","aggravate","Endothelial inflammation","Atherosclerosis","METTL14","COMPLICATES","Endothelial inflammation","Atherosclerosis"
"244","32802173","METTL14 aggravates endothelial inflammation and atherosclerosis by increasing FOXO1 N6-methyladeosine modifications.","METTL14","aggravate","Atherosclerosis","Atherosclerosis","METTL14","COMPLICATES","Endothelial inflammation","Atherosclerosis"
"343","32802173","METTL14 aggravates endothelial inflammation and atherosclerosis by increasing FOXO1 N6-methyladeosine modifications.","METTL14","increase","N6-methyladeosine","Atherosclerosis","METTL14","AUGMENTS","Endothelial inflammation","Atherosclerosis"
"427","32802173","METTL14 aggravates endothelial inflammation and atherosclerosis by increasing FOXO1 N6-methyladeosine modifications.","N6-methyladeosine","is on","FOXO1","Atherosclerosis","m6A","LOCATES","FOXO1","Atherosclerosis"
"512","32802173","METTL14 aggravates endothelial inflammation and atherosclerosis by increasing FOXO1 N6-methyladeosine modifications.","FOXO1","aggravate","Endothelial inflammation","Atherosclerosis","FOXO1","COMPLICATES","Endothelial inflammation","Atherosclerosis"
"611","32802173","METTL14 aggravates endothelial inflammation and atherosclerosis by increasing FOXO1 N6-methyladeosine modifications.","FOXO1","aggravate","Atherosclerosis","Atherosclerosis","FOXO1","COMPLICATES","Endothelial inflammation","Atherosclerosis"
"149","32914682","Enterotoxigenic Escherichia coli infection promotes enteric defensin expression via FOXO6-METTL3-m6A-GPR161 signaling axis.","Enterotoxigenic Escherichia coli infection","promote","enteric defensin expression","Enterotoxigenic Escherichia coli infection","Enterotoxigenic Escherichia coli infection","STIMULATES","enteric defensin expression","Enterotoxigenic Escherichia coli infection"
"245","32914682","Enterotoxigenic Escherichia coli infection promotes enteric defensin expression via FOXO6-METTL3-m6A-GPR161 signaling axis.","Enterotoxigenic Escherichia coli infection","regulate","FOXO6-METTL3-m6A-GPR161 signaling axis","Enterotoxigenic Escherichia coli infection","Enterotoxigenic Escherichia coli infection","AFFECTS","enteric defensin expression","Enterotoxigenic Escherichia coli infection"
"344","32914682","Enterotoxigenic Escherichia coli infection promotes enteric defensin expression via FOXO6-METTL3-m6A-GPR161 signaling axis.","FOXO6-METTL3-m6A-GPR161 signaling axis","promote","enteric defensin expression","Enterotoxigenic Escherichia coli infection","FOXO6-METTL3-m6A-GPR161 signaling axis","STIMULATES","enteric defensin expression","Enterotoxigenic Escherichia coli infection"
"153","32719557","NADP modulates RNA m6A methylation and adipogenesis via enhancing FTO activity.","NADP","enhance","FTO","Null","NADP","AUGMENTS","FTO","Null"
"246","32719557","NADP modulates RNA m6A methylation and adipogenesis via enhancing FTO activity.","FTO","modulate","m6A methylation","Null","FTO","AFFECTS","m6A","Null"
"345","32719557","NADP modulates RNA m6A methylation and adipogenesis via enhancing FTO activity.","FTO","modulate","adipogenesis","Null","FTO","AFFECTS","m6A","Null"
"428","32719557","NADP modulates RNA m6A methylation and adipogenesis via enhancing FTO activity.","NADP","modulate","m6A methylation","Null","NADP","AFFECTS","FTO","Null"
"513","32719557","NADP modulates RNA m6A methylation and adipogenesis via enhancing FTO activity.","NADP","modulate","adipogenesis","Null","NADP","AFFECTS","FTO","Null"
"154","29795461","Epigallocatechin gallate targets FTO and inhibits adipogenesis in an mRNA m6A-YTHDF2-dependent manner.","Epigallocatechin gallate","target","FTO","Null","epigallocatechin gallate","INTERACTS_WITH","FTO","Null"
"247","29795461","Epigallocatechin gallate targets FTO and inhibits adipogenesis in an mRNA m6A-YTHDF2-dependent manner.","Epigallocatechin gallate","inhibit","adipogenesis","Null","epigallocatechin gallate","INHIBITS","FTO","Null"
"346","29795461","Epigallocatechin gallate targets FTO and inhibits adipogenesis in an mRNA m6A-YTHDF2-dependent manner.","Epigallocatechin gallate","regulate","m6A","Null","epigallocatechin gallate","AFFECTS","FTO","Null"
"429","29795461","Epigallocatechin gallate targets FTO and inhibits adipogenesis in an mRNA m6A-YTHDF2-dependent manner.","YTHDF2","bind","m6A","Null","YTHDF2","INTERACTS_WITH","m6A","Null"
"514","29795461","Epigallocatechin gallate targets FTO and inhibits adipogenesis in an mRNA m6A-YTHDF2-dependent manner.","m6A","inhibit","adipogenesis","Null","m6A","INHIBITS","Adipogenesis","Null"
"155","33783988","AMD1 upregulates hepatocellular carcinoma cells stemness by FTO mediated mRNA demethylation.","AMD1","upregulate","Stemness","Hepatocellular Carcinoma","AMD1","STIMULATES","Stemness","LIHC(Liver Hepatocellular Carcinoma)"
"248","33783988","AMD1 upregulates hepatocellular carcinoma cells stemness by FTO mediated mRNA demethylation.","AMD1","regulate","FTO","Hepatocellular Carcinoma","AMD1","AFFECTS","Stemness","LIHC(Liver Hepatocellular Carcinoma)"
"351","33783988","AMD1 upregulates hepatocellular carcinoma cells stemness by FTO mediated mRNA demethylation.","FTO","mediate","mRNA demethylation","Hepatocellular Carcinoma","FTO","AFFECTS","mRNA demethylation","LIHC(Liver Hepatocellular Carcinoma)"
"430","33783988","AMD1 upregulates hepatocellular carcinoma cells stemness by FTO mediated mRNA demethylation.","mRNA demethylation","upregulate","Stemness","Hepatocellular Carcinoma","mRNA demethylation","STIMULATES","Stemness","LIHC(Liver Hepatocellular Carcinoma)"
"156","33283713","Hsa-let-7b-5p Inhibits Proliferation of Human Leukemia THP-1 Cells via FTO/m6A/MYC Signaling Pathway.","Hsa-let-7b-5p","inhibit","Proliferation","Human Leukemia THP-1 Cells","Hsa-let-7b-5p","INHIBITS","cell population proliferation","Human Leukemia THP-1 Cells"
"249","33283713","Hsa-let-7b-5p Inhibits Proliferation of Human Leukemia THP-1 Cells via FTO/m6A/MYC Signaling Pathway.","Hsa-let-7b-5p","regulate","FTO/m6A/MYC Signaling Pathway","Human Leukemia THP-1 Cells","Hsa-let-7b-5p","AFFECTS","cell population proliferation","Human Leukemia THP-1 Cells"
"352","33283713","Hsa-let-7b-5p Inhibits Proliferation of Human Leukemia THP-1 Cells via FTO/m6A/MYC Signaling Pathway.","FTO/m6A/MYC Signaling Pathway","inhibit","Proliferation","Human Leukemia THP-1 Cells","FTO/m6A/MYC signaling pathway","INHIBITS","cell population proliferation","Human Leukemia THP-1 Cells"
